dimension,train,test,scaling,pca_comp,whiten,model,metric,score,date
arousal,bal_deam,pmemo,standard,3,True,Ridge,r2,-0.08,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,SVRrbf,rmse,0.151,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,SVRrbf,r2,0.13,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,3,True,SVRrbf,rmse,0.202,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,3,True,SVRrbf,r2,-0.21,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,SVRlin,rmse,0.155,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,SVRlin,r2,0.09,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,3,True,SVRlin,rmse,0.168,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,3,True,SVRlin,r2,0.17,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,3,True,Ridge,accuracy,0.37,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,3,True,SVRrbf,accuracy,0.36,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,3,True,SVRlin,accuracy,0.37,2019-12-21_09-57-02
categorical,deam,dixon,standard,3,True,Ridge,accuracy,0.35,2019-12-21_09-57-02
categorical,deam,dixon,standard,3,True,SVRrbf,accuracy,0.29,2019-12-21_09-57-02
categorical,deam,dixon,standard,3,True,SVRlin,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,3,True,Ridge,accuracy,0.37,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,3,True,SVRrbf,accuracy,0.38,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,3,True,SVRlin,accuracy,0.37,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,3,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,3,True,SVRrbf,accuracy,0.29,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,3,True,SVRlin,accuracy,0.35,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,3,True,Ridge,accuracy,0.35,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,3,True,SVRrbf,accuracy,0.34,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,3,True,SVRlin,accuracy,0.36,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,3,True,Ridge,accuracy,0.36,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,3,True,SVRrbf,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,3,True,SVRlin,accuracy,0.36,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,Ridge,rmse,0.151,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,Ridge,r2,-0.07,2019-12-21_09-57-02
arousal,pmemo,deam,standard,4,True,Ridge,rmse,0.16,2019-12-21_09-57-02
arousal,pmemo,deam,standard,4,True,Ridge,r2,0.02,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,SVRrbf,rmse,0.134,2019-12-21_09-57-02
valence,pmemo,deam,standard,4,True,SVRrbf,r2,0.17,2019-12-21_09-57-02
arousal,pmemo,deam,standard,4,True,SVRrbf,rmse,0.174,2019-12-21_09-57-02
